PSRJ,GL,P1,RAJ_ERR,ELONG,DECJ,BSURF,PMDEC_ERR,PMELONG,DM,PML,P0_ERR,PMELAT_ERR,P1_ERR,PX,AGE,PMELAT,DECJD,POSEPOCH,DECJ_ERR,PX_ERR,RAJD_ERR,PMDEC,GB,DIST,PMELONG_ERR,PMRA_ERR,PMB,ELONG_ERR,PMRA,BNAME,RAJD,P0,ELAT,DM_ERR,DECJD_ERR,EDOT,ELAT_ERR,RAJ
J0024-7204L,305.8979532926569,-1.2204485685975984e-19,0.0003,311.2475034455891,-72:04:56.923,,0.03,0.5708024931181943,24.3986,-5.572555514080998,3.7778352559087413e-16,,3.777835255908741e-24,0.232,,-5.808544095885821,-72.08247861111111,51600.0,0.002,0.009,1.2499999999999997e-06,-2.55,-44.88778663858936,4.52,,0.03,1.7354034235547198,,5.25,B0021-72L,6.015717083333333,0.004346167999461561,-62.35132678132606,0.0006,5.555555555555555e-07,,,00:24:03.7721
J0024-7204M,305.9125606229182,-3.8418670373886966e-20,0.0003,311.2168396964479,-72:05:30.756,,0.03,0.571779715153907,24.426,-5.573980483546262,2.703541069905138e-16,,5.407082139810276e-24,0.232,,-5.8084479818053385,-72.09187666666666,51600.0,0.002,0.009,1.2499999999999997e-06,-2.55,-44.87670958957441,4.52,,0.03,1.7308210678881142,,5.25,B0021-72M,5.977041249999999,0.003676643217600219,-62.34610055671611,0.003,5.555555555555555e-07,,,00:23:54.4899
J0024-7204N,305.88990436055303,-2.1856974158788178e-20,0.0002,311.2696312448333,-72:04:28.8907,,0.03,0.5706129014704486,24.5568,-5.571732493265584,9.32663714904552e-17,,1.865327429809104e-24,0.232,,-5.808562723830695,-72.0746918611111,51600.0,0.0007,0.009,8.333333333333333e-07,-2.55,-44.89652373130265,4.52,,0.03,1.7380440223102713,,5.25,B0021-72N,6.038283333333333,0.0030539543462608475,-62.35317565199199,0.0002,1.9444444444444445e-07,,,00:24:09.1880
J0024-7204O,305.8965633823619,3.034932000446853e-20,6e-05,311.25038539150586,-72:04:53.7670,286616537.7788676,0.03,0.5707074297753953,24.358,-5.572420063047522,4.1923582722494934e-17,,5.589811029665991e-25,0.232,1379973167.658222,-5.8085534369237894,-72.08160194444444,51600.0,0.0002,0.009,2.5e-07,-2.55,-44.888822333119826,4.52,,0.03,1.7358383107148456,,5.25,,6.019385583333333,0.0026433432972435664,-62.351830610687934,0.0001,5.555555555555556e-08,6.487061162721093e+34,,00:24:04.65254
J0024-7204P,305.87164674479334,6.635799887250381e-19,29.0,311.2948945036091,-72:04:10,1573357583.6312268,0.03,0.5685363459424826,24.29,-5.570038698305938,2.6543199549001526e-10,,3.9814799323503456e-19,0.232,86983002.50969656,-5.808766342636134,-72.06944444444444,51000.0,62.0,0.009,0.12083333333333332,-2.55,-44.90377538994396,4.52,,0.03,1.743464625214481,,5.25,,6.083333333333333,0.0036430206936690275,-62.362256321006555,0.03,0.017222222222222222,5.418363073391875e+35,,00:24:20
J0024-7204Q,305.8770480172163,3.400847706259097e-20,0.0001,311.28208285002034,-72:04:25.1644,374772259.1122847,0.03,0.5687960387349107,24.2794,-5.570577757742159,1.4639895420831242e-16,,3.2533100935180538e-24,0.232,1878999158.2305849,-5.8087409191940615,-72.07365677777777,51600.0,0.0006,0.009,4.1666666666666667e-07,-2.55,-44.898941730033954,4.52,,0.03,1.74174149773964,,5.25,,6.068712083333333,0.004033181184572579,-62.36061943316546,0.0009,1.6666666666666665e-07,2.046462182287927e+34,,00:24:16.4909
J0024-7204R,305.8915142030351,1.4835187811540885e-19,0.0002,311.2563410354039,-72:04:50.3954,727134908.852604,0.03,0.5700636088730384,24.361,-5.571959678180987,1.2113620658251515e-16,,2.4227241316503032e-24,0.232,371714902.80258507,-5.808616658193124,-72.08066538888889,51600.0,0.0005,0.009,8.333333333333333e-07,-2.55,-44.89031032621882,4.52,,0.03,1.7373155570376955,,5.25,,6.031604583333333,0.003480462707493289,-62.35454597962726,8e-05,1.3888888888888888e-07,1.389126611913903e+35,,00:24:07.5851
J0024-7204S,305.898437496238,-1.2054129011747053e-19,0.0001,311.2552372188118,-72:04:42.3530,,0.03,0.571413673186596,24.38179,-5.572540971631636,7.210078097757864e-17,,8.011197886397626e-25,0.232,,-5.808484003085091,-72.07843138888889,51600.0,0.0004,0.009,4.1666666666666667e-07,-2.55,-44.89182804409321,4.52,,0.03,1.7354501201379133,,5.25,,6.016580833333333,0.0028304059578791213,-62.34943733718728,1e-05,1.1111111111111112e-07,,,00:24:03.9794
J0024-7204T,305.89046027160543,2.9380456006692413e-19,0.0005,311.2635838339077,-72:04:38.932,1510972763.0547645,0.03,0.5703265994105275,24.421,-5.571821222262459,1.1517005157363601e-15,,1.1517005157363601e-23,0.232,409225123.0819216,-5.808590842020533,-72.07748111111111,51600.0,0.003,0.009,2.083333333333333e-06,-2.55,-44.89364344865262,4.52,,0.03,1.7377595538927801,,5.25,,6.035621249999999,0.007588479807367086,-62.35393525746894,0.004,8.333333333333333e-07,2.65432391694112e+34,,00:24:08.5491
J0024-7204U,305.89045163950925,9.522788323951407e-20,0.0001,311.285469583479,-72:03:59.6882,650756168.0224456,0.03,0.5717745367702167,24.34,-5.571666209797215,1.1316086228938761e-16,,1.697412934340814e-24,0.232,722560814.306155,-5.808448491559618,-72.06658005555555,51600.0,0.0004,0.009,4.1666666666666667e-07,-2.55,-44.904668868007626,4.52,,0.03,1.7382564962064448,,5.25,,6.040985833333333,0.004342826696392332,-62.34964367696607,0.001,1.1111111111111112e-07,4.589933261596806e+34,,00:24:09.8366
